--- Merge Sort Benchmark Log ---
  > Thread 51: Avg Time = 0.0054s
  > Thread 52: Avg Time = 0.0054s
  > Thread 53: Avg Time = 0.0058s
  > Thread 54: Avg Time = 0.0055s
  > Thread 55: Avg Time = 0.0056s
  > Thread 56: Avg Time = 0.0055s
  > Thread 57: Avg Time = 0.0056s
  > Thread 58: Avg Time = 0.0055s
  > Thread 59: Avg Time = 0.0055s
  > Thread 60: Avg Time = 0.0056s
  > Thread 61: Avg Time = 0.0055s
  > Thread 62: Avg Time = 0.0055s
  > Thread 63: Avg Time = 0.0056s
  > Thread 64: Avg Time = 0.0056s
  > Thread 65: Avg Time = 0.0059s
  > Thread 66: Avg Time = 0.0058s
  > Thread 67: Avg Time = 0.0059s
  > Thread 68: Avg Time = 0.0059s
  > Thread 69: Avg Time = 0.0060s
  > Thread 70: Avg Time = 0.0058s
  > Thread 71: Avg Time = 0.0058s
  > Thread 72: Avg Time = 0.0058s
  > Thread 73: Avg Time = 0.0059s
  > Thread 74: Avg Time = 0.0058s
  > Thread 75: Avg Time = 0.0059s
  > Thread 76: Avg Time = 0.0058s
  > Thread 77: Avg Time = 0.0058s
  > Thread 78: Avg Time = 0.0058s
  > Thread 79: Avg Time = 0.0058s
  > Thread 80: Avg Time = 0.0058s
  > Thread 81: Avg Time = 0.0059s
  > Thread 82: Avg Time = 0.0060s
  > Thread 83: Avg Time = 0.0058s
  > Thread 84: Avg Time = 0.0059s
  > Thread 85: Avg Time = 0.0059s
  > Thread 86: Avg Time = 0.0059s
  > Thread 87: Avg Time = 0.0058s
  > Thread 88: Avg Time = 0.0058s
  > Thread 89: Avg Time = 0.0059s
  > Thread 90: Avg Time = 0.0058s
  > Thread 91: Avg Time = 0.0059s
  > Thread 92: Avg Time = 0.0059s
  > Thread 93: Avg Time = 0.0059s
  > Thread 94: Avg Time = 0.0059s
  > Thread 95: Avg Time = 0.0058s
  > Thread 96: Avg Time = 0.0060s
  > Thread 97: Avg Time = 0.0060s
  > Thread 98: Avg Time = 0.0059s
  > Thread 99: Avg Time = 0.0059s

[ Target N = 300000 ]
  > Thread  2: Avg Time = 0.0096s
  > Thread  3: Avg Time = 0.0082s
  > Thread  4: Avg Time = 0.0074s
  > Thread  5: Avg Time = 0.0077s
  > Thread  6: Avg Time = 0.0072s
  > Thread  7: Avg Time = 0.0071s
  > Thread  8: Avg Time = 0.0069s
  > Thread  9: Avg Time = 0.0071s
  > Thread 10: Avg Time = 0.0072s
  > Thread 11: Avg Time = 0.0073s
  > Thread 12: Avg Time = 0.0072s
  > Thread 13: Avg Time = 0.0072s
  > Thread 14: Avg Time = 0.0072s
  > Thread 15: Avg Time = 0.0073s
  > Thread 16: Avg Time = 0.0073s
  > Thread 17: Avg Time = 0.0077s
  > Thread 18: Avg Time = 0.0076s
  > Thread 19: Avg Time = 0.0075s
  > Thread 20: Avg Time = 0.0074s
  > Thread 21: Avg Time = 0.0075s
  > Thread 22: Avg Time = 0.0074s
  > Thread 23: Avg Time = 0.0075s
  > Thread 24: Avg Time = 0.0075s
  > Thread 25: Avg Time = 0.0077s
  > Thread 26: Avg Time = 0.0080s
  > Thread 27: Avg Time = 0.0077s
  > Thread 28: Avg Time = 0.0077s
  > Thread 29: Avg Time = 0.0076s
  > Thread 30: Avg Time = 0.0076s
  > Thread 31: Avg Time = 0.0077s
  > Thread 32: Avg Time = 0.0076s
  > Thread 33: Avg Time = 0.0081s
  > Thread 34: Avg Time = 0.0081s
  > Thread 35: Avg Time = 0.0080s
  > Thread 36: Avg Time = 0.0079s
  > Thread 37: Avg Time = 0.0080s
  > Thread 38: Avg Time = 0.0080s
  > Thread 39: Avg Time = 0.0080s
  > Thread 40: Avg Time = 0.0079s
  > Thread 41: Avg Time = 0.0080s
  > Thread 42: Avg Time = 0.0079s
  > Thread 43: Avg Time = 0.0079s
  > Thread 44: Avg Time = 0.0079s
  > Thread 45: Avg Time = 0.0079s
  > Thread 46: Avg Time = 0.0079s
  > Thread 47: Avg Time = 0.0079s
  > Thread 48: Avg Time = 0.0080s
  > Thread 49: Avg Time = 0.0081s
  > Thread 50: Avg Time = 0.0081s
  > Thread 51: Avg Time = 0.0081s
  > Thread 52: Avg Time = 0.0081s
  > Thread 53: Avg Time = 0.0080s
  > Thread 54: Avg Time = 0.0080s
  > Thread 55: Avg Time = 0.0080s
  > Thread 56: Avg Time = 0.0081s
  > Thread 57: Avg Time = 0.0081s
  > Thread 58: Avg Time = 0.0081s
  > Thread 59: Avg Time = 0.0081s
  > Thread 60: Avg Time = 0.0081s
  > Thread 61: Avg Time = 0.0081s
  > Thread 62: Avg Time = 0.0080s
  > Thread 63: Avg Time = 0.0081s
  > Thread 64: Avg Time = 0.0082s
  > Thread 65: Avg Time = 0.0086s
  > Thread 66: Avg Time = 0.0086s
  > Thread 67: Avg Time = 0.0085s
  > Thread 68: Avg Time = 0.0086s
  > Thread 69: Avg Time = 0.0085s
  > Thread 70: Avg Time = 0.0085s
  > Thread 71: Avg Time = 0.0085s
  > Thread 72: Avg Time = 0.0085s
  > Thread 73: Avg Time = 0.0085s
  > Thread 74: Avg Time = 0.0085s
  > Thread 75: Avg Time = 0.0085s
  > Thread 76: Avg Time = 0.0085s
  > Thread 77: Avg Time = 0.0084s
  > Thread 78: Avg Time = 0.0084s
  > Thread 79: Avg Time = 0.0084s
  > Thread 80: Avg Time = 0.0084s
  > Thread 81: Avg Time = 0.0085s
  > Thread 82: Avg Time = 0.0086s
  > Thread 83: Avg Time = 0.0085s
  > Thread 84: Avg Time = 0.0085s
  > Thread 85: Avg Time = 0.0085s
  > Thread 86: Avg Time = 0.0085s
  > Thread 87: Avg Time = 0.0084s
  > Thread 88: Avg Time = 0.0084s
  > Thread 89: Avg Time = 0.0085s
  > Thread 90: Avg Time = 0.0085s
  > Thread 91: Avg Time = 0.0085s
  > Thread 92: Avg Time = 0.0085s
  > Thread 93: Avg Time = 0.0085s
  > Thread 94: Avg Time = 0.0085s
  > Thread 95: Avg Time = 0.0085s
  > Thread 96: Avg Time = 0.0086s
  > Thread 97: Avg Time = 0.0087s
  > Thread 98: Avg Time = 0.0087s
  > Thread 99: Avg Time = 0.0087s

[ Target N = 400000 ]
  > Thread  2: Avg Time = 0.0129s
  > Thread  3: Avg Time = 0.0110s
  > Thread  4: Avg Time = 0.0098s
  > Thread  5: Avg Time = 0.0102s
  > Thread  6: Avg Time = 0.0097s
  > Thread  7: Avg Time = 0.0094s
  > Thread  8: Avg Time = 0.0092s
  > Thread  9: Avg Time = 0.0096s
  > Thread 10: Avg Time = 0.0092s
  > Thread 11: Avg Time = 0.0098s
  > Thread 12: Avg Time = 0.0096s
  > Thread 13: Avg Time = 0.0097s
  > Thread 14: Avg Time = 0.0096s
  > Thread 15: Avg Time = 0.0097s
  > Thread 16: Avg Time = 0.0097s
  > Thread 17: Avg Time = 0.0102s
  > Thread 18: Avg Time = 0.0100s
  > Thread 19: Avg Time = 0.0099s
  > Thread 20: Avg Time = 0.0098s
  > Thread 21: Avg Time = 0.0099s
  > Thread 22: Avg Time = 0.0100s
  > Thread 23: Avg Time = 0.0099s
  > Thread 24: Avg Time = 0.0101s
  > Thread 25: Avg Time = 0.0102s
  > Thread 26: Avg Time = 0.0100s
  > Thread 27: Avg Time = 0.0100s
  > Thread 28: Avg Time = 0.0101s
  > Thread 29: Avg Time = 0.0102s
  > Thread 30: Avg Time = 0.0101s
  > Thread 31: Avg Time = 0.0101s
  > Thread 32: Avg Time = 0.0100s
  > Thread 33: Avg Time = 0.0106s
  > Thread 34: Avg Time = 0.0106s
  > Thread 35: Avg Time = 0.0106s
  > Thread 36: Avg Time = 0.0106s
  > Thread 37: Avg Time = 0.0106s
  > Thread 38: Avg Time = 0.0106s
  > Thread 39: Avg Time = 0.0105s
  > Thread 40: Avg Time = 0.0105s
  > Thread 41: Avg Time = 0.0106s
  > Thread 42: Avg Time = 0.0106s
  > Thread 43: Avg Time = 0.0105s
  > Thread 44: Avg Time = 0.0105s
  > Thread 45: Avg Time = 0.0105s
  > Thread 46: Avg Time = 0.0104s
  > Thread 47: Avg Time = 0.0106s
  > Thread 48: Avg Time = 0.0107s
  > Thread 49: Avg Time = 0.0107s
  > Thread 50: Avg Time = 0.0106s
  > Thread 51: Avg Time = 0.0106s
  > Thread 52: Avg Time = 0.0106s
  > Thread 53: Avg Time = 0.0106s
  > Thread 54: Avg Time = 0.0107s
  > Thread 55: Avg Time = 0.0107s
  > Thread 56: Avg Time = 0.0107s
  > Thread 57: Avg Time = 0.0106s
  > Thread 58: Avg Time = 0.0107s
  > Thread 59: Avg Time = 0.0107s
  > Thread 60: Avg Time = 0.0107s
  > Thread 61: Avg Time = 0.0107s
  > Thread 62: Avg Time = 0.0108s
  > Thread 63: Avg Time = 0.0107s
  > Thread 64: Avg Time = 0.0109s
  > Thread 65: Avg Time = 0.0114s
  > Thread 66: Avg Time = 0.0114s
  > Thread 67: Avg Time = 0.0113s
  > Thread 68: Avg Time = 0.0113s
  > Thread 69: Avg Time = 0.0112s
  > Thread 70: Avg Time = 0.0113s
  > Thread 71: Avg Time = 0.0112s
  > Thread 72: Avg Time = 0.0113s
  > Thread 73: Avg Time = 0.0113s
  > Thread 74: Avg Time = 0.0112s
  > Thread 75: Avg Time = 0.0112s
  > Thread 76: Avg Time = 0.0113s
  > Thread 77: Avg Time = 0.0112s
  > Thread 78: Avg Time = 0.0112s
  > Thread 79: Avg Time = 0.0111s
  > Thread 80: Avg Time = 0.0112s
  > Thread 81: Avg Time = 0.0113s
  > Thread 82: Avg Time = 0.0113s
  > Thread 83: Avg Time = 0.0114s
  > Thread 84: Avg Time = 0.0112s
  > Thread 85: Avg Time = 0.0113s
  > Thread 86: Avg Time = 0.0112s
  > Thread 87: Avg Time = 0.0113s
  > Thread 88: Avg Time = 0.0112s
  > Thread 89: Avg Time = 0.0113s
  > Thread 90: Avg Time = 0.0112s
  > Thread 91: Avg Time = 0.0112s
  > Thread 92: Avg Time = 0.0113s
  > Thread 93: Avg Time = 0.0112s
  > Thread 94: Avg Time = 0.0113s
  > Thread 95: Avg Time = 0.0112s
  > Thread 96: Avg Time = 0.0113s
  > Thread 97: Avg Time = 0.0114s
  > Thread 98: Avg Time = 0.0114s
  > Thread 99: Avg Time = 0.0115s

[ Target N = 500000 ]
  > Thread  2: Avg Time = 0.0164s
  > Thread  3: Avg Time = 0.0139s
  > Thread  4: Avg Time = 0.0123s
  > Thread  5: Avg Time = 0.0128s
  > Thread  6: Avg Time = 0.0122s
  > Thread  7: Avg Time = 0.0118s
  > Thread  8: Avg Time = 0.0115s
  > Thread  9: Avg Time = 0.0118s
  > Thread 10: Avg Time = 0.0117s
  > Thread 11: Avg Time = 0.0123s
  > Thread 12: Avg Time = 0.0122s
  > Thread 13: Avg Time = 0.0121s
  > Thread 14: Avg Time = 0.0120s
  > Thread 15: Avg Time = 0.0121s
  > Thread 16: Avg Time = 0.0122s
  > Thread 17: Avg Time = 0.0128s
  > Thread 18: Avg Time = 0.0126s
  > Thread 19: Avg Time = 0.0124s
  > Thread 20: Avg Time = 0.0123s
  > Thread 21: Avg Time = 0.0125s
  > Thread 22: Avg Time = 0.0125s
  > Thread 23: Avg Time = 0.0124s
  > Thread 24: Avg Time = 0.0124s
  > Thread 25: Avg Time = 0.0126s
  > Thread 26: Avg Time = 0.0127s
  > Thread 27: Avg Time = 0.0126s
  > Thread 28: Avg Time = 0.0127s
  > Thread 29: Avg Time = 0.0125s
  > Thread 30: Avg Time = 0.0127s
  > Thread 31: Avg Time = 0.0126s
  > Thread 32: Avg Time = 0.0126s
  > Thread 33: Avg Time = 0.0134s
  > Thread 34: Avg Time = 0.0134s
  > Thread 35: Avg Time = 0.0132s
  > Thread 36: Avg Time = 0.0133s
  > Thread 37: Avg Time = 0.0133s
  > Thread 38: Avg Time = 0.0132s
  > Thread 39: Avg Time = 0.0132s
  > Thread 40: Avg Time = 0.0132s
  > Thread 41: Avg Time = 0.0133s
  > Thread 42: Avg Time = 0.0137s
  > Thread 43: Avg Time = 0.0133s
  > Thread 44: Avg Time = 0.0134s
  > Thread 45: Avg Time = 0.0132s
  > Thread 46: Avg Time = 0.0133s
  > Thread 47: Avg Time = 0.0133s
  > Thread 48: Avg Time = 0.0133s
  > Thread 49: Avg Time = 0.0135s
  > Thread 50: Avg Time = 0.0135s
  > Thread 51: Avg Time = 0.0135s
  > Thread 52: Avg Time = 0.0134s
  > Thread 53: Avg Time = 0.0133s
  > Thread 54: Avg Time = 0.0133s
  > Thread 55: Avg Time = 0.0134s
  > Thread 56: Avg Time = 0.0134s
  > Thread 57: Avg Time = 0.0133s
  > Thread 58: Avg Time = 0.0135s
  > Thread 59: Avg Time = 0.0134s
  > Thread 60: Avg Time = 0.0135s
  > Thread 61: Avg Time = 0.0134s
  > Thread 62: Avg Time = 0.0135s
  > Thread 63: Avg Time = 0.0133s
  > Thread 64: Avg Time = 0.0137s
  > Thread 65: Avg Time = 0.0146s
  > Thread 66: Avg Time = 0.0143s
  > Thread 67: Avg Time = 0.0142s
  > Thread 68: Avg Time = 0.0141s
  > Thread 69: Avg Time = 0.0141s
  > Thread 70: Avg Time = 0.0141s
  > Thread 71: Avg Time = 0.0140s
  > Thread 72: Avg Time = 0.0141s
  > Thread 73: Avg Time = 0.0141s
  > Thread 74: Avg Time = 0.0142s
  > Thread 75: Avg Time = 0.0140s
  > Thread 76: Avg Time = 0.0141s
  > Thread 77: Avg Time = 0.0140s
  > Thread 78: Avg Time = 0.0140s
  > Thread 79: Avg Time = 0.0142s
  > Thread 80: Avg Time = 0.0141s
  > Thread 81: Avg Time = 0.0141s
  > Thread 82: Avg Time = 0.0142s
  > Thread 83: Avg Time = 0.0141s
  > Thread 84: Avg Time = 0.0140s
  > Thread 85: Avg Time = 0.0141s
  > Thread 86: Avg Time = 0.0140s
  > Thread 87: Avg Time = 0.0141s
  > Thread 88: Avg Time = 0.0142s
  > Thread 89: Avg Time = 0.0141s
  > Thread 90: Avg Time = 0.0142s
  > Thread 91: Avg Time = 0.0140s
  > Thread 92: Avg Time = 0.0141s
  > Thread 93: Avg Time = 0.0143s
  > Thread 94: Avg Time = 0.0141s
  > Thread 95: Avg Time = 0.0141s
  > Thread 96: Avg Time = 0.0142s
  > Thread 97: Avg Time = 0.0144s
  > Thread 98: Avg Time = 0.0144s
  > Thread 99: Avg Time = 0.0144s

[ Target N = 600000 ]
  > Thread  2: Avg Time = 0.0200s
  > Thread  3: Avg Time = 0.0167s
  > Thread  4: Avg Time = 0.0150s
  > Thread  5: Avg Time = 0.0155s
  > Thread  6: Avg Time = 0.0146s
  > Thread  7: Avg Time = 0.0142s
  > Thread  8: Avg Time = 0.0139s
  > Thread  9: Avg Time = 0.0145s
  > Thread 10: Avg Time = 0.0146s
  > Thread 11: Avg Time = 0.0147s
  > Thread 12: Avg Time = 0.0146s
  > Thread 13: Avg Time = 0.0146s
  > Thread 14: Avg Time = 0.0146s
  > Thread 15: Avg Time = 0.0145s
  > Thread 16: Avg Time = 0.0146s
  > Thread 17: Avg Time = 0.0154s
  > Thread 18: Avg Time = 0.0152s
  > Thread 19: Avg Time = 0.0149s
  > Thread 20: Avg Time = 0.0149s
  > Thread 21: Avg Time = 0.0150s
  > Thread 22: Avg Time = 0.0150s
  > Thread 23: Avg Time = 0.0150s
  > Thread 24: Avg Time = 0.0150s
  > Thread 25: Avg Time = 0.0153s
  > Thread 26: Avg Time = 0.0152s
  > Thread 27: Avg Time = 0.0152s
  > Thread 28: Avg Time = 0.0152s
  > Thread 29: Avg Time = 0.0152s
  > Thread 30: Avg Time = 0.0152s
  > Thread 31: Avg Time = 0.0152s
  > Thread 32: Avg Time = 0.0151s
  > Thread 33: Avg Time = 0.0160s
  > Thread 34: Avg Time = 0.0160s
  > Thread 35: Avg Time = 0.0160s
  > Thread 36: Avg Time = 0.0159s
  > Thread 37: Avg Time = 0.0158s
  > Thread 38: Avg Time = 0.0159s
  > Thread 39: Avg Time = 0.0160s
  > Thread 40: Avg Time = 0.0157s
  > Thread 41: Avg Time = 0.0159s
  > Thread 42: Avg Time = 0.0158s
  > Thread 43: Avg Time = 0.0159s
  > Thread 44: Avg Time = 0.0158s
  > Thread 45: Avg Time = 0.0157s
  > Thread 46: Avg Time = 0.0158s
  > Thread 47: Avg Time = 0.0158s
  > Thread 48: Avg Time = 0.0158s
  > Thread 49: Avg Time = 0.0161s
  > Thread 50: Avg Time = 0.0160s
  > Thread 51: Avg Time = 0.0161s
  > Thread 52: Avg Time = 0.0160s
  > Thread 53: Avg Time = 0.0160s
  > Thread 54: Avg Time = 0.0160s
  > Thread 55: Avg Time = 0.0160s
  > Thread 56: Avg Time = 0.0160s
  > Thread 57: Avg Time = 0.0160s
  > Thread 58: Avg Time = 0.0161s
  > Thread 59: Avg Time = 0.0160s
  > Thread 60: Avg Time = 0.0160s
  > Thread 61: Avg Time = 0.0161s
  > Thread 62: Avg Time = 0.0161s
  > Thread 63: Avg Time = 0.0161s
  > Thread 64: Avg Time = 0.0161s
  > Thread 65: Avg Time = 0.0171s
  > Thread 66: Avg Time = 0.0169s
  > Thread 67: Avg Time = 0.0170s
  > Thread 68: Avg Time = 0.0170s
  > Thread 69: Avg Time = 0.0169s
  > Thread 70: Avg Time = 0.0168s
  > Thread 71: Avg Time = 0.0169s
  > Thread 72: Avg Time = 0.0169s
  > Thread 73: Avg Time = 0.0169s
  > Thread 74: Avg Time = 0.0168s
  > Thread 75: Avg Time = 0.0169s
  > Thread 76: Avg Time = 0.0167s
  > Thread 77: Avg Time = 0.0168s
  > Thread 78: Avg Time = 0.0166s
  > Thread 79: Avg Time = 0.0168s
